temperature,humidity,soil_moisture,rainfall,light,acoustic,motion,season,timestamp
28.39,62.33,26.5,6.69,19.38,57.48,0,summer,2026-07-09T04:38:41.961634
42.92,16.912726843437305,6.43,5.61,4.47,76.196857421902,0,summer,2026-07-09T04:46:41.961634
28.76,54.67,11.68,6.88,18.7,44.07,0,summer,2026-07-09T04:54:41.961634
25.46,65.74,20.73,1.65,15.96,36.09,0,summer,2026-07-09T05:02:41.961634
26.33,53.88,25.27,0.18,0.75,78.74,0,summer,2026-07-09T05:10:41.961634
25.82,52.47,34.66,2.4,38.19,46.48,0,summer,2026-07-09T05:18:41.961634
27.3,66.18,16.64,3.12,7.64,63.67,0,summer,2026-07-09T05:26:41.961634
28.24,64.23,24.8,1.74,46.79,76.68,0,summer,2026-07-09T05:34:41.961634
27.33,60.72,12.88,9.12,14.79,39.42,0,summer,2026-07-09T05:42:41.961634
29.43,67.31,12.0,8.39,15.4,48.54,1,summer,2026-07-09T05:50:41.961634
30.4,57.54,10.12,6.37,31.31,47.6,0,summer,2026-07-09T05:58:41.961634
37.95,37.61,31.53,1.72,314.94,58.8,1,summer,2026-07-09T06:06:41.961634
34.27,37.21,33.09,4.67,505.39,80.31,0,summer,2026-07-09T06:14:41.961634
36.09,29.14,20.24,4.76,886.5,76.03,0,summer,2026-07-09T06:22:41.961634
39.04,32.75,16.21,8.51,416.26,39.64,1,summer,2026-07-09T06:30:41.961634
34.27,40.29,28.46,3.8,753.42,77.53,1,summer,2026-07-09T06:38:41.961634
38.88,38.62,35.72,8.43,962.35,28.58,0,summer,2026-07-09T06:46:41.961634
37.57,36.76,30.5,4.17,866.12,79.31,1,summer,2026-07-09T06:54:41.961634
36.74,37.82,19.69,0.0,499.1,56.69,1,summer,2026-07-09T07:02:41.961634
35.77,35.32,18.59,5.45,753.31,50.46,0,summer,2026-07-09T07:10:41.961634
39.04,39.46,29.75,9.1,713.09,65.0,1,summer,2026-07-09T07:18:41.961634
34.09,35.87,28.37,3.24,845.18,80.17,0,summer,2026-07-09T07:26:41.961634
36.97,37.79,12.69,0.65,919.75,74.43,0,summer,2026-07-09T07:34:41.961634
34.53,27.61,15.18,1.44,475.84,55.19,0,summer,2026-07-09T07:42:41.961634
39.38,38.61,21.26,2.67,448.93,73.03,0,summer,2026-07-09T07:50:41.961634
34.97,32.12,20.16,4.29,337.95,38.07,1,summer,2026-07-09T07:58:41.961634
34.56,33.68,13.36,3.45,397.22,81.05,1,summer,2026-07-09T08:06:41.961634
